,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total_Traded_Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
0,TCS,EQ,2017-05-15,2360.65,2375.1,2377.95,2341.6,2368.0,2365.1,2352.6,908802,2138047585.1999998,30047,712450,78.39,5,2017,0.0,Slight or No change
1,TCS,EQ,2017-05-16,2365.1,2380.0,2435.0,2373.45,2425.1,2429.15,2410.26,1800513,4339704463.38,58476,1167534,64.84,5,2017,2.7081307344298367,Positive
2,TCS,EQ,2017-05-17,2429.15,2433.5,2460.75,2423.0,2450.0,2455.35,2443.31,1438099,3513721667.69,86412,1031752,71.74,5,2017,1.0785665767861108,Positive
3,TCS,EQ,2017-05-18,2455.35,2450.0,2572.0,2442.25,2525.0,2536.2,2525.78,2569297,6489478976.660001,111566,1135613,44.2,5,2017,3.292809579082401,Among top gainers
4,TCS,EQ,2017-05-19,2536.2,2536.2,2540.55,2486.0,2503.85,2507.15,2506.58,893022,2238431084.7599998,63112,517461,57.94,5,2017,-1.1454143994952926,Negative
5,TCS,EQ,2017-05-22,2507.15,2510.0,2553.75,2510.0,2535.0,2531.35,2530.69,831970,2105458159.3,53261,509741,61.27,5,2017,0.965239415272312,Slight Positive
6,TCS,EQ,2017-05-23,2531.35,2533.2,2564.15,2514.0,2523.7,2521.7,2530.49,1374298,3477647346.0199995,88749,995551,72.44,5,2017,-0.3812195073774949,Slight or No change
7,TCS,EQ,2017-05-24,2521.7,2534.8,2570.0,2529.65,2567.1,2559.15,2545.01,1267274,3225225002.7400002,58716,918505,72.48,5,2017,1.4851092516952935,Positive
8,TCS,EQ,2017-05-25,2559.15,2577.0,2637.55,2568.0,2615.05,2624.6,2605.4,2047047,5333376253.8,87147,1180439,57.67,5,2017,2.5574897915323413,Positive
9,TCS,EQ,2017-05-26,2624.6,2625.0,2626.85,2564.65,2570.05,2578.25,2593.0,681275,1766546075.0,32170,390827,57.37,5,2017,-1.765983387944825,Negative
10,TCS,EQ,2017-05-29,2578.25,2579.0,2596.5,2564.0,2572.0,2572.85,2577.65,874645,2254528684.25,41767,635375,72.64,5,2017,-0.20944439057500874,Slight or No change
11,TCS,EQ,2017-05-30,2572.85,2560.0,2575.95,2525.0,2548.2,2551.1,2554.74,463817,1184931842.58,26766,246206,53.08,5,2017,-0.845366033775774,Slight negative
12,TCS,EQ,2017-05-31,2551.1,2533.0,2572.5,2528.0,2539.95,2546.6,2549.69,1251365,3190592826.85,103176,925467,73.96,5,2017,-0.17639449649170524,Slight or No change
13,TCS,EQ,2017-06-01,2546.6,2530.0,2564.0,2530.0,2553.0,2553.6,2552.85,540032,1378620691.2,38315,370004,68.52,6,2017,0.2748763056624526,Slight or No change
14,TCS,EQ,2017-06-02,2553.6,2556.25,2591.85,2552.5,2560.0,2564.9,2568.84,677824,1741221404.16,43736,511928,75.53,6,2017,0.4425125313283207,Slight or No change
15,TCS,EQ,2017-06-05,2564.9,2565.0,2619.9,2560.15,2616.0,2603.95,2577.2,750094,1933142256.8,39041,490594,65.4,6,2017,1.5224765098054371,Positive
16,TCS,EQ,2017-06-06,2603.95,2631.0,2708.95,2630.0,2705.0,2696.0,2693.18,2973360,8007793684.799999,132494,1888281,63.51,6,2017,3.5350141131742285,Among top gainers
17,TCS,EQ,2017-06-07,2696.0,2697.0,2700.0,2576.55,2613.95,2615.25,2624.95,2463888,6467582805.599999,109104,1265805,51.37,6,2017,-2.995178041543023,Negative
18,TCS,EQ,2017-06-08,2615.25,2598.0,2604.95,2515.5,2520.0,2521.6,2543.44,1665357,4235735608.08,80468,678314,40.73,6,2017,-3.5809196061562076,Among top losers
19,TCS,EQ,2017-06-09,2521.6,2520.0,2547.4,2486.0,2518.6,2507.0,2513.28,1574017,3955945445.76,83931,599286,38.07,6,2017,-0.5789974619289318,Slight negative
20,TCS,EQ,2017-06-12,2507.0,2497.0,2512.9,2470.4,2484.9,2487.2,2487.48,813253,2022950572.44,44849,306655,37.71,6,2017,-0.789788591942564,Slight negative
21,TCS,EQ,2017-06-13,2487.2,2465.0,2481.1,2447.0,2450.0,2451.55,2464.89,587707,1448633107.23,52410,268108,45.62,6,2017,-1.4333386941138504,Negative
22,TCS,EQ,2017-06-14,2451.55,2455.0,2476.0,2455.0,2465.4,2470.2,2469.41,744571,1838651073.11,42987,456486,61.31,6,2017,0.7607432032795458,Slight Positive
23,TCS,EQ,2017-06-15,2470.2,2469.0,2469.7,2405.0,2410.0,2411.2,2427.94,1498599,3638508456.06,65157,1140716,76.12,6,2017,-2.3884705691846864,Negative
24,TCS,EQ,2017-06-16,2411.2,2414.95,2435.0,2386.5,2395.0,2399.7,2402.96,1225213,2944137830.48,72001,709697,57.92,6,2017,-0.4769409422694104,Slight or No change
25,TCS,EQ,2017-06-19,2399.7,2416.9,2446.35,2405.15,2432.0,2431.7,2430.5,822371,1998772715.5,53034,493678,60.03,6,2017,1.3335000208359427,Positive
26,TCS,EQ,2017-06-20,2431.7,2431.0,2449.0,2380.3,2443.6,2445.0,2427.14,835479,2027824500.06,56385,443227,53.05,6,2017,0.5469424682321034,Slight Positive
27,TCS,EQ,2017-06-21,2445.0,2440.0,2442.15,2397.2,2406.75,2406.3,2412.24,828909,1999527446.1599998,60134,488457,58.93,6,2017,-1.582822085889568,Negative
28,TCS,EQ,2017-06-22,2406.3,2409.0,2431.0,2385.0,2391.45,2394.85,2403.02,2887941,6939779981.82,51314,2442403,84.57,6,2017,-0.4758342683788497,Slight or No change
29,TCS,EQ,2017-06-23,2394.85,2399.4,2413.95,2354.0,2359.8,2361.7,2388.78,712378,1701714318.8400002,52090,347676,48.8,6,2017,-1.3842203060734581,Negative
30,TCS,EQ,2017-06-27,2361.7,2350.6,2384.7,2331.6,2348.0,2342.85,2357.33,987165,2327073669.45,61242,613618,62.16,6,2017,-0.798153872210694,Slight negative
31,TCS,EQ,2017-06-28,2342.85,2349.9,2358.0,2335.0,2346.25,2350.05,2345.89,894863,2099250163.07,46724,653390,73.02,6,2017,0.3073180101158979,Slight or No change
32,TCS,EQ,2017-06-29,2350.05,2359.0,2372.05,2323.1,2328.95,2333.25,2342.52,1235913,2895150920.7599998,41555,909603,73.6,6,2017,-0.7148784068424119,Slight negative
33,TCS,EQ,2017-06-30,2333.25,2324.4,2377.0,2323.1,2361.0,2362.35,2361.01,876924,2070426333.2400002,45339,543014,61.92,6,2017,1.2471873995499871,Positive
34,TCS,EQ,2017-07-03,2362.35,2357.4,2383.05,2343.1,2371.0,2373.6,2368.46,737978,1747871373.88,39614,492755,66.77,7,2017,0.4762207124261897,Slight or No change
